archivo-tasas	alectrico-2021-tasas.txt
archivo-valor-activos	alectrico-2021-valor-activos.txt
archivo-proveedores	proveedores.txt
archivo-trabajadores	trabajadores.txt
archivo-remuneraciones	remuneraciones.txt
archivo-afps	afps.txt
archivo-afc	afc.txt
archivo-salud	salud.txt
archivo-impuestos	tramos-de-impuesto-unico.txt
archivo-contratos	contratos.txt
archivo-accionistas	accionistas.txt
archivo-cuentas	cuentas.txt
----------------- PRIMITIVA ------------------
----------------- ACTIVIDAD ------------------
seleccionando	gasto-administrativo
seleccionando	gasto-administrativo
seleccionando	gasto-administrativo
seleccionando	gasto-administrativo
seleccionando	gasto-administrativo
seleccionando	gasto-administrativo
seleccionando	gasto-administrativo
seleccionando	gasto-administrativo
seleccionando	gasto-administrativo
seleccionando	gasto-administrativo
seleccionando	gasto-administrativo
seleccionando	gasto-administrativo
seleccionando	gasto-administrativo
seleccionando	gasto-administrativo
seleccionando	gasto-proveedor
seleccionando	gasto-proveedor
seleccionando	gasto-proveedor
seleccionando	gasto-proveedor
seleccionando	gasto-proveedor
seleccionando	gasto-proveedor
seleccionando	gasto-proveedor
seleccionando	gasto-proveedor
seleccionando	gasto-proveedor
seleccionando	gasto-proveedor
seleccionando	gasto-proveedor
seleccionando	gasto-proveedor
seleccionando	gasto-proveedor
seleccionando	gasto-proveedor
seleccionando	gasto-promocional
seleccionando	gasto-promocional
seleccionando	gasto-promocional
seleccionando	gasto-promocional
seleccionando	gasto-promocional
seleccionando	gasto-promocional
seleccionando	gasto-promocional
seleccionando	gasto-promocional
seleccionando	gasto-promocional
seleccionando	gasto-promocional
seleccionando	gasto-promocional
seleccionando	gasto-promocional
seleccionando	gasto-promocional
seleccionando	gasto-promocional
seleccionando	venta
seleccionando	venta
seleccionando	venta
seleccionando	venta
seleccionando	venta
seleccionando	venta
seleccionando	venta
seleccionando	venta
seleccionando	venta
seleccionando	venta
seleccionando	venta
seleccionando	venta
seleccionando	venta
seleccionando	venta
seleccionando	compra
seleccionando	compra
seleccionando	compra
seleccionando	compra
seleccionando	compra
seleccionando	compra
seleccionando	compra
seleccionando	compra
seleccionando	compra
seleccionando	compra
seleccionando	compra
seleccionando	compra
seleccionando	compra
seleccionando	compra
seleccionando	costo-ventas
seleccionando	costo-ventas
seleccionando	costo-ventas
seleccionando	costo-ventas
seleccionando	costo-ventas
seleccionando	costo-ventas
seleccionando	costo-ventas
seleccionando	costo-ventas
seleccionando	costo-ventas
seleccionando	costo-ventas
seleccionando	costo-ventas
seleccionando	costo-ventas
seleccionando	costo-ventas
seleccionando	costo-ventas
seleccionando	deposito
seleccionando	deposito
seleccionando	deposito
seleccionando	deposito
seleccionando	deposito
seleccionando	deposito
seleccionando	deposito
seleccionando	deposito
seleccionando	deposito
seleccionando	deposito
seleccionando	deposito
seleccionando	deposito
seleccionando	deposito
seleccionando	deposito
seleccionando	honorario
seleccionando	honorario
seleccionando	honorario
seleccionando	honorario
seleccionando	honorario
seleccionando	honorario
seleccionando	honorario
seleccionando	honorario
seleccionando	honorario
seleccionando	honorario
seleccionando	honorario
seleccionando	honorario
seleccionando	honorario
seleccionando	honorario
seleccionando	salario
seleccionando	salario
seleccionando	salario
seleccionando	salario
seleccionando	salario
seleccionando	salario
seleccionando	salario
seleccionando	salario
seleccionando	salario
seleccionando	salario
seleccionando	salario
seleccionando	salario
seleccionando	salario
seleccionando	salario
seleccionando	devolucion
seleccionando	devolucion
seleccionando	devolucion
seleccionando	devolucion
seleccionando	devolucion
seleccionando	devolucion
seleccionando	devolucion
seleccionando	devolucion
seleccionando	devolucion
seleccionando	devolucion
seleccionando	devolucion
seleccionando	devolucion
seleccionando	devolucion
seleccionando	devolucion
seleccionando	gasto-ventas
seleccionando	gasto-ventas
seleccionando	gasto-ventas
seleccionando	gasto-ventas
seleccionando	gasto-ventas
seleccionando	gasto-ventas
seleccionando	gasto-ventas
seleccionando	gasto-ventas
seleccionando	gasto-ventas
seleccionando	gasto-ventas
seleccionando	gasto-ventas
seleccionando	gasto-ventas
seleccionando	gasto-ventas
seleccionando	gasto-ventas
seleccionando	gasto-afecto
seleccionando	gasto-afecto
seleccionando	gasto-afecto
seleccionando	gasto-afecto
seleccionando	gasto-afecto
seleccionando	gasto-afecto
seleccionando	gasto-afecto
seleccionando	gasto-afecto
seleccionando	gasto-afecto
seleccionando	gasto-afecto
seleccionando	gasto-afecto
seleccionando	gasto-afecto
seleccionando	gasto-afecto
seleccionando	gasto-afecto
seleccionando	amortizacion
seleccionando	amortizacion
seleccionando	amortizacion
seleccionando	amortizacion
seleccionando	amortizacion
seleccionando	amortizacion
seleccionando	amortizacion
seleccionando	amortizacion
seleccionando	amortizacion
seleccionando	amortizacion
seleccionando	amortizacion
seleccionando	amortizacion
seleccionando	amortizacion
seleccionando	amortizacion
seleccionando	depreciacion
seleccionando	depreciacion
seleccionando	depreciacion
seleccionando	depreciacion
seleccionando	depreciacion
seleccionando	depreciacion
seleccionando	depreciacion
seleccionando	depreciacion
seleccionando	depreciacion
seleccionando	depreciacion
seleccionando	depreciacion
seleccionando	depreciacion
seleccionando	depreciacion
seleccionando	depreciacion
seleccionando	gasto-sobre-compras
seleccionando	gasto-sobre-compras
seleccionando	gasto-sobre-compras
seleccionando	gasto-sobre-compras
seleccionando	gasto-sobre-compras
seleccionando	gasto-sobre-compras
seleccionando	gasto-sobre-compras
seleccionando	gasto-sobre-compras
seleccionando	gasto-sobre-compras
seleccionando	gasto-sobre-compras
seleccionando	gasto-sobre-compras
seleccionando	gasto-sobre-compras
seleccionando	gasto-sobre-compras
seleccionando	gasto-sobre-compras
seleccionando	despago
seleccionando	despago
seleccionando	despago
seleccionando	despago
seleccionando	despago
seleccionando	despago
seleccionando	despago
seleccionando	despago
seleccionando	despago
seleccionando	despago
seleccionando	despago
seleccionando	despago
seleccionando	despago
seleccionando	despago
seleccionando	pago
seleccionando	pago
seleccionando	pago
seleccionando	pago
seleccionando	pago
seleccionando	pago
seleccionando	pago
seleccionando	pago
seleccionando	pago
seleccionando	pago
seleccionando	pago
seleccionando	pago
seleccionando	pago
seleccionando	pago
seleccionando	venta-anticipada
seleccionando	venta-anticipada
seleccionando	venta-anticipada
seleccionando	venta-anticipada
seleccionando	venta-anticipada
seleccionando	venta-anticipada
seleccionando	venta-anticipada
seleccionando	venta-anticipada
seleccionando	venta-anticipada
seleccionando	venta-anticipada
seleccionando	venta-anticipada
seleccionando	venta-anticipada
seleccionando	venta-anticipada
seleccionando	venta-anticipada
seleccionando	venta-sii
seleccionando	venta-sii
seleccionando	venta-sii
seleccionando	venta-sii
seleccionando	venta-sii
seleccionando	venta-sii
seleccionando	venta-sii
seleccionando	venta-sii
seleccionando	venta-sii
seleccionando	venta-sii
seleccionando	venta-sii
seleccionando	venta-sii
seleccionando	venta-sii
seleccionando	venta-sii
seleccionando	nota-de-credito-sii
seleccionando	nota-de-credito-sii
seleccionando	nota-de-credito-sii
seleccionando	nota-de-credito-sii
seleccionando	nota-de-credito-sii
seleccionando	nota-de-credito-sii
seleccionando	nota-de-credito-sii
seleccionando	nota-de-credito-sii
seleccionando	nota-de-credito-sii
seleccionando	nota-de-credito-sii
seleccionando	nota-de-credito-sii
seleccionando	nota-de-credito-sii
seleccionando	nota-de-credito-sii
seleccionando	nota-de-credito-sii
seleccionando	nota-de-credito
seleccionando	nota-de-credito
seleccionando	nota-de-credito
seleccionando	nota-de-credito
seleccionando	nota-de-credito
seleccionando	nota-de-credito
seleccionando	nota-de-credito
seleccionando	nota-de-credito
seleccionando	nota-de-credito
seleccionando	nota-de-credito
seleccionando	nota-de-credito
seleccionando	nota-de-credito
seleccionando	nota-de-credito
seleccionando	nota-de-credito
seleccionando	nota-de-credito-de-subcuenta-existente
seleccionando	nota-de-credito-de-subcuenta-existente
seleccionando	nota-de-credito-de-subcuenta-existente
seleccionando	nota-de-credito-de-subcuenta-existente
seleccionando	nota-de-credito-de-subcuenta-existente
seleccionando	nota-de-credito-de-subcuenta-existente
seleccionando	nota-de-credito-de-subcuenta-existente
seleccionando	nota-de-credito-de-subcuenta-existente
seleccionando	nota-de-credito-de-subcuenta-existente
seleccionando	nota-de-credito-de-subcuenta-existente
seleccionando	nota-de-credito-de-subcuenta-existente
seleccionando	nota-de-credito-de-subcuenta-existente
seleccionando	nota-de-credito-de-subcuenta-existente
seleccionando	nota-de-credito-de-subcuenta-existente
seleccionando	nota-de-debito-sii
seleccionando	nota-de-debito-sii
seleccionando	nota-de-debito-sii
seleccionando	nota-de-debito-sii
seleccionando	nota-de-debito-sii
seleccionando	nota-de-debito-sii
seleccionando	nota-de-debito-sii
seleccionando	nota-de-debito-sii
seleccionando	nota-de-debito-sii
seleccionando	nota-de-debito-sii
seleccionando	nota-de-debito-sii
seleccionando	nota-de-debito-sii
seleccionando	nota-de-debito-sii
seleccionando	nota-de-debito-sii
seleccionando	nota-de-debito-manual
seleccionando	nota-de-debito-manual
seleccionando	nota-de-debito-manual
seleccionando	nota-de-debito-manual
seleccionando	nota-de-debito-manual
seleccionando	nota-de-debito-manual
seleccionando	nota-de-debito-manual
seleccionando	nota-de-debito-manual
seleccionando	nota-de-debito-manual
seleccionando	nota-de-debito-manual
seleccionando	nota-de-debito-manual
seleccionando	nota-de-debito-manual
seleccionando	nota-de-debito-manual
seleccionando	nota-de-debito-manual
seleccionando	rendicion-de-eboletas-sii
seleccionando	rendicion-de-eboletas-sii
seleccionando	rendicion-de-eboletas-sii
seleccionando	rendicion-de-eboletas-sii
seleccionando	rendicion-de-eboletas-sii
seleccionando	rendicion-de-eboletas-sii
seleccionando	rendicion-de-eboletas-sii
seleccionando	rendicion-de-eboletas-sii
seleccionando	rendicion-de-eboletas-sii
seleccionando	rendicion-de-eboletas-sii
seleccionando	rendicion-de-eboletas-sii
seleccionando	rendicion-de-eboletas-sii
seleccionando	rendicion-de-eboletas-sii
seleccionando	rendicion-de-eboletas-sii
seleccionando	rendicion-de-vouchers-sii
seleccionando	rendicion-de-vouchers-sii
seleccionando	rendicion-de-vouchers-sii
seleccionando	rendicion-de-vouchers-sii
seleccionando	rendicion-de-vouchers-sii
seleccionando	rendicion-de-vouchers-sii
seleccionando	rendicion-de-vouchers-sii
seleccionando	rendicion-de-vouchers-sii
seleccionando	rendicion-de-vouchers-sii
seleccionando	rendicion-de-vouchers-sii
seleccionando	rendicion-de-vouchers-sii
seleccionando	rendicion-de-vouchers-sii
seleccionando	rendicion-de-vouchers-sii
seleccionando	rendicion-de-vouchers-sii
seleccionando	ajuste-de-iva-contra-credito
seleccionando	ajuste-de-iva-contra-credito
seleccionando	ajuste-de-iva-contra-credito
seleccionando	ajuste-de-iva-contra-credito
seleccionando	ajuste-de-iva-contra-credito
seleccionando	ajuste-de-iva-contra-credito
seleccionando	ajuste-de-iva-contra-credito
